,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-philippe,-21.3585,55.7679,299.26,78,0,2.57,RE,1612648007
1,havoysund,70.9963,24.6622,269.15,86,75,7.2,NO,1612648365
2,east london,-33.0153,27.9116,296.88,87,8,1.1,ZA,1612647992
3,vaitupu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,hobart,-42.8794,147.3294,289.82,59,75,4.63,AU,1612648012
5,fevralsk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,cape town,-33.9258,18.4232,295.37,78,20,5.14,ZA,1612647776
7,punta arenas,-53.15,-70.9167,288.15,44,20,9.77,CL,1612647885
8,nizhneyansk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,lebu,-37.6167,-73.65,289.56,84,51,2.75,CL,1612648024
10,thanh hoa,19.8,105.7667,290.33,92,0,0.92,VN,1612648157
11,rikitea,-23.1203,-134.9692,298.81,70,100,4.45,PF,1612647991
12,lolua,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,inhambane,-23.865,35.3833,298.34,87,81,3.53,MZ,1612648022
14,homer,59.6425,-151.5483,273.15,80,1,2.57,US,1612648271
15,huarmey,-10.0681,-78.1522,296.53,69,70,4.85,PE,1612648052
16,carnarvon,-24.8667,113.6333,300.15,100,75,4.63,AU,1612647871
17,scalea,39.813,15.7956,283.15,96,85,3.08,IT,1612648367
18,barentsburg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,horta,38.5333,-28.6333,289.15,94,75,8.23,PT,1612648367
20,kavieng,-2.5744,150.7967,301.33,70,61,1.15,PG,1612648012
21,lagoa,39.05,-27.9833,288.91,87,100,10.92,PT,1612647863
22,sur,22.5667,59.5289,290.58,62,0,3.19,OM,1612648367
23,vrangel,42.7297,133.0839,263.83,85,22,5.28,RU,1612648367
24,bluff,-46.6,168.3333,288.5,69,2,0.79,NZ,1612648010
25,hilo,19.7297,-155.09,299.15,50,1,2.57,US,1612647791
26,kokopo,-4.352,152.2633,299.55,77,42,1.97,PG,1612648368
27,axim,4.8699,-2.2405,299.6,89,32,3.01,GH,1612648174
28,dikson,73.5069,80.5464,239.41,86,89,4.58,RU,1612648001
29,attawapiskat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,vao,-22.6667,167.4833,298.28,85,0,2.52,NC,1612648368
31,hithadhoo,-0.6,73.0833,300.62,76,44,5.2,MV,1612647861
32,port alfred,-33.5906,26.891,293.71,92,58,3.13,ZA,1612647994
33,passi,11.15,122.65,296.34,93,95,2.65,PH,1612648368
34,ostrovnoy,68.0531,39.5131,260.83,91,96,4.88,RU,1612648018
35,longyearbyen,78.2186,15.6401,266.15,79,75,4.63,SJ,1612647885
36,puerto ayora,-0.7393,-90.3518,303.15,66,0,5.66,EC,1612647993
37,tura,25.5198,90.2201,286.49,70,100,0.72,IN,1612648150
38,taolanaro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,jamestown,42.097,-79.2353,267.15,49,1,7.72,US,1612647989
40,airai,-8.9266,125.4092,288.98,100,90,1.04,TL,1612647996
41,vaini,-21.2,-175.2,301.15,83,75,3.6,TO,1612648002
42,suamico,44.6319,-88.0393,259.26,51,20,8.23,US,1612648370
43,tasiilaq,65.6145,-37.6368,274.15,64,75,15.43,GL,1612648016
44,arraial do cabo,-22.9661,-42.0278,295.15,94,75,1.54,BR,1612647988
45,kyra,49.5776,111.9753,250.91,83,68,1.65,RU,1612648165
46,nikolskoye,59.7035,30.7861,260.93,78,75,5,RU,1612647995
47,port elizabeth,-33.918,25.5701,293.15,88,40,6.17,ZA,1612648004
48,qaanaaq,77.484,-69.3632,261.29,87,99,3.41,GL,1612648016
49,kadoma,34.7333,135.5833,277.59,93,0,1.54,JP,1612648371
50,yellowknife,62.456,-114.3525,236.48,67,1,1.01,CA,1612648008
51,kapaa,22.0752,-159.319,296.48,49,1,2.06,US,1612647987
52,kodiak,57.79,-152.4072,276.15,60,1,4.63,US,1612648054
53,tautira,-17.7333,-149.15,302.15,54,20,5.14,PF,1612648371
54,sakaiminato,35.55,133.2333,282.15,93,40,0.51,JP,1612648371
55,palabuhanratu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,hue,16.4667,107.6,293.15,100,40,0.51,VN,1612648316
57,banda aceh,5.5577,95.3222,298.68,81,55,3.46,ID,1612648051
58,saryozek,44.3583,77.9753,277.78,71,100,6.17,KZ,1612648371
59,maniitsoq,65.4167,-52.9,270.52,79,0,9.35,GL,1612648372
60,rio gallegos,-51.6226,-69.2181,291.15,22,0,4.12,AR,1612648133
61,albany,42.6001,-73.9662,275.15,30,20,6.69,US,1612647998
62,illoqqortoormiut,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,ushuaia,-54.8,-68.3,285.15,76,40,8.23,AR,1612647989
64,archidona,37.0965,-4.3887,286.48,67,44,0.89,ES,1612648372
65,pangody,65.85,74.4859,243.45,86,65,5.91,RU,1612648042
66,mataura,-46.1927,168.8643,294.02,57,0,0.94,NZ,1612647996
67,upernavik,72.7868,-56.1549,266.53,78,97,1.74,GL,1612648026
68,port blair,11.6667,92.75,298.57,77,13,3.88,IN,1612648033
69,tiksi,71.6872,128.8694,240.4,85,100,2.27,RU,1612647902
